Countries,Current,25%,50%,75%,URL,name_forma
Guatemala,11.4,10,15,23.8,,Republic of Guatemala
Guinea,4.5,5.1,4.7,6.1,,Republic of Guinea
Guinea-Bissau,14,13.8,14.1,15.4,,
Guyana,19.8,18.6,9.1,33.8,,Cooperative Republic of Guyana
Haiti,11.3,12.1,8.9,14.3,,Republic of Haiti
Honduras,11.8,12.3,14.3,23.7,,Republic of Honduras
Hungary,78.1,98,108.2,80.3,,Republic of Hungary
Iceland,61.9,73.7,68,79.9,,Republic of Iceland
India,3.6,3.6,4,4,http://ichef.bbci.co.uk/news/660/cpsprodpb/12140/production/_89384047_89383941.jpg,Republic of India
Indonesia,3.5,4.4,7.3,7.8,,Republic of Indonesia
Iran,13.9,19.6,19.7,23.4,,
Ireland,69.9,77.7,85.5,107.6,,
Israel,49,64,57.5,68.3,,State of Israel
Italy,50.5,72.1,84.4,91.5,,Italian Republic
Jamaica,26,35.2,39.6,55.3,,
Japan,15.8,30.4,38.8,44.1,,
Jordan,13.6,21.1,29.6,33.2,,Hashemite Kingdom of Jordan
Kazakhstan,29.6,39.2,35.3,39.4,,Republic of Kazakhstan
Kenya,16.5,18.4,15.8,13.2,http://www.celsias.com/media/uploads/admin/2477719111_6b9daa5386.jpg,Republic of Kenya
Kiribati,21.1,25.4,21.7,26.2,,Republic of Kiribati
Kuwait,38.1,58,64.5,70.8,,State of Kuwait
Kyrgyzstan,29.6,39.2,35.3,39.6,,Kyrgyz Republic
Lao People's Democratic Republic,11.3,7.9,10.9,15.4,,
Latvia,29.6,39.2,35.3,34,,Republic of Latvia
Lebanon,24.2,34.3,35.4,43.9,,Lebanese Republic
Lesotho,15.8,17.8,19.6,16.2,,Republic of Lesotho
Liberia,9.7,10.7,11.7,10.6,,Republic of Liberia
Libya,24.8,42.3,33.9,33.7,,Great Socialist People's Libyan Arab Jamahiriya
Lithuania,24.8,42.3,33.9,54.8,,Republic of Lithuania
Luxembourg,24.8,42.3,33.9,54.8,,Grand Duchy of Luxembourg
Madagascar,25.9,23.5,22.2,17.4,,Republic of Madagascar
Malawi,5.3,4.9,4.5,5.2,,Republic of Malawi
Malaysia,15.7,21.3,33.8,45.6,,
Maldives,4.2,3.9,9.5,12.9,,Republic of Maldives
Mali,18.8,16.9,18.6,17.9,,Republic of Mali
Malta,45.7,58.6,67.5,79,,Republic of Malta
Mauritania,35.3,32.2,31.1,27,,Islamic Republic of Mauritania
Mauritius,6.5,18.3,23.1,33.6,,Republic of Mauritius
Mexico,24.2,34.4,34.6,52.3,,United Mexican States
Mongolia,35.3,32.2,31.1,67.6,,
Montenegro,24.8,42.3,33.9,52.3,,
Morocco,13.2,12.3,18.7,21.3,,Kingdom of Morocco
Mozambique,5.9,5.7,5.6,10.9,,Republic of Mozambique
Myanmar,7,7.4,7,8.9,,Union of Burma
Namibia,42.5,42.4,23.3,33.3,,Republic of Namibia
Nepal,6.7,8.1,9.8,9.8,,Kingdom of Nepal
Netherlands,56.9,72.8,74.8,85.8,,Kingdom of the Netherlands
Netherlands Antilles,35.3,32.2,31.1,33.3,,
New Caledonia,61.8,57.6,52.1,67.6,,
New Zealand,35.3,32.2,31.1,33.3,,
Nicaragua,21.2,20.8,9,13.9,,Republic of Nicaragua
Niger,21.7,20.7,18.6,20.7,,Republic of Niger
Nigeria,7.3,8.7,8,8.9,,Federal Republic of Nigeria
Norway,39.8,50.6,49.4,57.7,,Kingdom of Norway
Occupied Palestinian Territory,39.8,50.6,49.4,35.4,,
Pakistan,7.8,8.7,11.7,11.7,,Islamic Republic of Pakistan
Panama,31.6,36,39.7,59.7,,Republic of Panama
Paraguay,61.7,64.1,57.6,76.4,,Republic of Paraguay
Peru,21,19,15.1,16.6,,Republic of Peru
Philippines,17.3,16.2,17.4,28.3,,Republic of the Philippines
Poland,53.1,76,73.8,72.4,,Republic of Poland
Portugal,30.8,43.4,56.3,87.3,,Portuguese Republic
Republic of Korea,5.1,14.9,22.1,46.2,,
Republic of Moldova,39.8,50.6,49.4,20.2,,
Romania,35.3,64.7,56.2,50.7,,
Russia,39.8,50.6,49.4,40.9,,
Rwanda,4,5,4.3,5,,Rwandese Republic
Saint Kitts and Nevis,22.9,38.9,58.9,71.3,,Federation of Saint Kitts and Nevis
Saint Lucia,26.1,50.2,70.7,95.8,,
Saint Vincent and the Grenadines,14.2,27.7,51.3,67.1,,
Samoa,27.3,38.6,64.2,67.6,,Independent State of Samoa
Sao Tome and Principe,6.1,3.5,4.5,8,,Democratic Republic of Sao Tome and Principe
Saudi Arabia,10.5,34.7,40,52.3,,Kingdom of Saudi Arabia
Senegal,16.6,12.7,12.8,12,,Republic of Senegal
Serbia,14.2,27.7,51.3,67.6,,Republic of Serbia
Serbia and Montenegro,27.3,38.6,64.2,89.8,,
Seychelles,8.5,20.4,22.7,27,,Republic of Seychelles
Sierra Leone,5.1,5.6,5,5.3,,Republic of Sierra Leone
Slovakia,14.2,27.7,51.3,67.3,,Slovak Republic
Slovenia,27.3,38.6,64.2,92.3,,Republic of Slovenia
Solomon Islands,14.6,14.9,15.4,7.8,,
South Africa,35.1,36.1,35.6,37.3,,Republic of South Africa
Spain,41,65.8,89.7,33.3,,Kingdom of Spain
Sri Lanka,4.5,3.4,3.1,4.8,,Democratic Socialist Republic of Sri Lanka
Sudan,21.1,22,15.5,18.8,,
Suriname,32,41.5,37.1,42.1,,Republic of Suriname
Swaziland,31.6,30.5,26.4,27.2,,Kingdom of Swaziland
Sweden,51.6,63.2,59.3,72.8,,Kingdom of Sweden
Switzerland,68.8,82.2,84.8,72.7,,Swiss Confederation
Syrian Arab Republic,11.4,18.1,17.5,21.9,,
Tajikistan,14.2,27.7,51.3,8.5,,Republic of Tajikistan
Thailand,27.3,38.6,64.2,24.5,,Kingdom of Thailand
Macedonia,7.7,7.2,10.6,34.5,,
Timor-Leste,75.7,53.1,47.3,37.3,,
Togo,7.7,7.2,10.6,7.9,,Togolese Republic
Trinidad and Tobago,26.8,39.8,31.6,34.9,,Republic of Trinidad and Tobago
Tunisia,11.6,14.3,20,25.5,,Republic of Tunisia
Turkey,16,15.3,21.5,21.2,,Republic of Turkey
Turkmenistan,7.7,7.2,10.6,30,,
USSR,47.7,60.7,72.2,30,,
Uganda,11.6,12.5,10.4,10.9,,
Ukraine,7.7,7.2,10.6,32,,
United Arab Emirates,53.6,77.5,71.3,81.5,,
United Kingdom,72.1,72.2,71.5,76.9,,United Kingdom of Great Britain and Northern Ireland
United Republic of Tanzania,10,10.4,10.9,11,,
United States,72.1,72.2,71.5,76.9,http://media.syracuse.com/news/photo/2012/07/wide-drought-3jpg-bd886c592e512476.jpg,United States of America
Uruguay,11.6,12.5,10.4,10.9,,Oriental Republic of Uruguay
Uzbekistan,72.1,72.2,71.5,20.7,,Republic of Uzbekistan
Vanuatu,41.6,37.2,30.6,35.3,,Republic of Vanuatu
Venezuela,32.6,45.4,38.7,56.4,,
Vietnam,10,8.9,15.9,22.8,,
Yemen,6.7,15.8,13.2,11.4,,Republic of Yemen
Yugoslav,40.1,64.6,66.7,22.8,,
Zambia,17.3,14.3,12,14,,Republic of Zambia
Zimbabwe,11.2,10.7,11.9,12.1,,Republic of Zimbabwe
